Begin-End,Transcript,Strategy,Fidelity Score,AI Reasoning
1:14-1:17,"[{'start': '1:14', 'end': '1:15', 'text': 'making oatmeal in the sink.'}, {'start': '1:17', 'end': '1:17', 'text': 'Ah.'}]","""Modeling""","**Reasoning**: The transcript is very limited, but based on the provided text, there is no clear evidence of a verbal or gestural model being presented, nor is there an indication of joint attention being established. There is no observable wait time for the child's response, and the verbal feedback provided (""Ah."") does not qualify as feedback beyond a simple acknowledgment. Therefore, none of the fidelity criteria are met.
2. **Fidelity**: 1",**Fidelity**: 1
1:20-1:21,"[{'start': '1:20', 'end': '1:21', 'text': 'You show me a pig?'}]",Mand-model,"**Reasoning**:  
   - The parent presents a verbal prompt in the form of a question (""You show me a pig?""), which satisfies the first criterion.
   - The transcript does not provide information about whether joint attention was established, so we cannot award a point for the second criterion.
   - There is no information about whether the parent waited ~3 seconds for the child's response, so we cannot award a point for the third criterion.
   - The transcript does not include any verbal feedback, so we cannot award a point for the fourth criterion.

2. **Fidelity**: 1",**Fidelity**: 1
1:24-1:26,"[{'start': '1:24', 'end': '1:26', 'text': ""Where's a pig on your...""}]",Time Delay,"**Reasoning**: The transcript provides a brief snippet of interaction where the parent begins a question, ""Where's a pig on your..."". From this, we cannot determine if the parent looked expectantly at the child, established joint attention, or maintained an expectant look for 5-7 seconds. Additionally, the question seems to be leading towards a yes/no or simple answer, which does not meet the criterion for providing verbal feedback that is not a simple ""Yes/No"" question. Therefore, none of the fidelity criteria can be confirmed from the provided transcript.

2. **Fidelity**: 1",**Fidelity**: 1
1:30-1:31,"[{'start': '1:30', 'end': '1:31', 'text': 'What color is his shirt?'}]",Mand-model,"**Reasoning**:  
   - The parent presents a verbal prompt in the form of a question: ""What color is his shirt?"" (+1 point).
   - There is no information provided about whether joint attention was established before or while prompting, so no point can be awarded for this criterion.
   - There is no information about whether the parent waited ~3 seconds for the child's response, so no point can be awarded for this criterion.
   - There is no information about the type of verbal feedback provided, so no point can be awarded for this criterion.

2. **Fidelity**: 1",**Fidelity**: 1
1:32-1:39,"[{'start': '1:32', 'end': '1:33', 'text': 'Green or red?'}, {'start': '1:33', 'end': '1:34', 'text': 'Ah.'}, {'start': '1:37', 'end': '1:38', 'text': 'Ah!'}, {'start': '1:38', 'end': '1:39', 'text': 'Green.'}]",Mand-model,"**Reasoning**:  
   - The parent presents a verbal prompt in the form of a choice question: ""Green or red?"" (+1 point).
   - The transcript does not provide explicit evidence of joint attention being established before or during the prompt, so no point is awarded for this criterion.
   - There is no clear indication of a ~3-second wait time for the child's response, so no point is awarded for this criterion.
   - The parent does not provide verbal feedback after the child's response, so no point is awarded for this criterion.

2. **Fidelity**: 1",**Fidelity**: 1
1:43-1:43,"[{'start': '1:43', 'end': '1:43', 'text': 'Green.'}]","""Modeling""","**Reasoning**: The transcript provides only a single word, ""Green,"" with no additional context or interaction details. Therefore, it is not possible to determine if a verbal or gestural model was presented, if joint attention was established, if there was a wait time for the child's response, or if verbal feedback was provided. Without more information, none of the fidelity criteria can be confirmed as met.
2. **Fidelity**: 1",**Fidelity**: 1
1:46-1:51,"[{'start': '1:46', 'end': '1:49', 'text': 'Pigs from England, pigs from France,'}, {'start': '1:49', 'end': '1:51', 'text': 'pigs and just their underpants.'}]","""Modeling""","**Reasoning**: The transcript does not provide enough information to evaluate the use of the Modeling strategy. There is no indication of a verbal or gestural model being presented, joint attention being established, a wait time for the child's response, or any verbal feedback provided. The transcript only includes a short rhyme without context or interaction details.
2. **Fidelity**: 0",**Fidelity**: 0
1:49-1:51,"[{'start': '1:49', 'end': '1:51', 'text': 'pigs and just their underpants.'}]","""Modeling""","**Reasoning**: The transcript provided is too limited to evaluate the use of the Modeling strategy effectively. It does not include any information about whether a verbal or gestural model was presented, if joint attention was established, if there was a wait time for the child's response, or if verbal feedback was provided. Therefore, none of the fidelity criteria can be assessed from the given text.

2. **Fidelity**: 1",**Fidelity**: 1
1:53-1:58,"[{'start': '1:53', 'end': '1:56', 'text': 'Next page, pigs arrive by boat by plane,'}, {'start': '1:57', 'end': '1:58', 'text': 'a bus pulls up and then a train.'}]","""Modeling""","**Reasoning**: The transcript does not provide enough information to evaluate the use of the Modeling strategy. There is no indication of a verbal or gestural model being presented, joint attention being established, a wait time for the child's response, or verbal feedback provided. Without these elements, it is not possible to assign points based on the fidelity criteria.  
2. **Fidelity**: 0",**Fidelity**: 0
1:57-2:01,"[{'start': '1:57', 'end': '1:58', 'text': 'a bus pulls up and then a train.'}, {'start': '1:60', 'end': '2:01', 'text': 'Where is the train?'}]","""Modeling""","**Reasoning**: The parent does not present a verbal or gestural model in the transcript. There is no evidence of establishing joint attention. The parent asks a question immediately after the statement without waiting ~3 seconds for the child's response. The question ""Where is the train?"" is a simple yes/no question, which does not provide verbal feedback.  
2. **Fidelity**: 0",**Fidelity**: 0
1:60-2:01,"[{'start': '1:60', 'end': '2:01', 'text': 'Where is the train?'}]",Mand-model,"**Reasoning**: The parent presents a verbal prompt in the form of a question (""Where is the train?""), which satisfies the first criterion. However, there is no information provided about whether joint attention was established, whether the parent waited for the child's response, or whether verbal feedback was given. Therefore, only the first criterion can be confirmed as met.
2. **Fidelity**: 1",**Fidelity**: 1
2:02-2:10,"[{'start': '2:02', 'end': '2:02', 'text': ""Where's the train?""}, {'start': '2:06', 'end': '2:07', 'text': ""That's the airplane.""}, {'start': '2:08', 'end': '2:10', 'text': ""And that's a big boat.""}]",Mand-model,"**Reasoning**:  
   - The parent presents a verbal prompt in the form of a question: ""Where's the train?"" (+1 point).
   - There is no explicit evidence of establishing joint attention with the child before or while prompting, so no point is awarded for joint attention.
   - There is no indication of waiting ~3 seconds for the child's response before continuing, so no point is awarded for waiting.
   - The parent provides verbal feedback that is not a simple ""Yes/No"" question: ""That's the airplane."" and ""And that's a big boat."" (+1 point).

2. **Fidelity**: 2",**Fidelity**: 2
2:16-2:18,"[{'start': '2:16', 'end': '2:17', 'text': 'What sound?'}, {'start': '2:17', 'end': '2:18', 'text': 'Yeah.'}]",Mand-model,"**Reasoning**:  
- The parent presents a verbal prompt in the form of a question (""What sound?""), which meets the first criterion.  
- There is no information provided about joint attention being established before or while prompting, so this criterion cannot be confirmed.  
- The transcript does not indicate a wait time of ~3 seconds for the child's response, so this criterion is not met.  
- The feedback provided (""Yeah."") is a simple ""Yes/No"" response, which does not meet the criterion for providing verbal feedback that is not a simple ""Yes/No"" question.

2. **Fidelity**: 1",**Fidelity**: 1
2:18-2:28,"[{'start': '2:18', 'end': '2:21', 'text': 'Yeah, what sound is a train make?'}, {'start': '2:21', 'end': '2:23', 'text': 'Choo, choo.'}, {'start': '2:25', 'end': '2:28', 'text': 'Can you say, choo, choo?'}]",Mand-model,"**Reasoning**:  
   - The parent presents a verbal prompt in the form of a question: ""Yeah, what sound does a train make?"" and a mand: ""Can you say, choo, choo?"" (+1 point).
   - The transcript does not provide explicit evidence of joint attention being established before or while prompting, so no point is awarded for this criterion.
   - There is no indication of a ~3-second wait time for the child's response before continuing, so no point is awarded for this criterion.
   - The parent provides verbal feedback by repeating the prompt ""Can you say, choo, choo?"" which is not a simple ""Yes/No"" question (+1 point).

2. **Fidelity**: 2",**Fidelity**: 2
2:46-2:48,"[{'start': '2:46', 'end': '2:48', 'text': 'Flying pizzas, billier.'}]","""Modeling""","**Reasoning**: The transcript provides a single utterance, ""Flying pizzas, billier."" There is no clear evidence of a verbal or gestural model being presented, nor is there any indication of joint attention being established. The transcript does not show a pause or waiting period for the child's response, nor does it provide any verbal feedback. Therefore, none of the fidelity criteria are met in this interaction.
2. **Fidelity**: 1",**Fidelity**: 1
2:48-2:51,"[{'start': '2:48', 'end': '2:51', 'text': 'One goes flat against my chair.'}]","""Modeling""","**Reasoning**: The transcript provides a single utterance, ""One goes flat against my chair."" There is no clear evidence of a verbal or gestural model being presented, nor is there any indication of joint attention being established. The transcript does not show a pause or waiting period for the child's response, nor does it include any verbal feedback. Therefore, none of the fidelity criteria are met in this interaction.
2. **Fidelity**: 1",**Fidelity**: 1
2:51-2:57,"[{'start': '2:51', 'end': '2:54', 'text': 'Wow, look at that pizza flying.'}, {'start': '2:55', 'end': '2:57', 'text': ""It's flying through the air.""}]",Modeling,"**Reasoning**:  
- Presenting a verbal or gestural model: The parent provides a verbal model by describing the action, ""Wow, look at that pizza flying"" and ""It's flying through the air."" (+1)  
- Establishing joint attention: The parent attempts to establish joint attention by directing the child's focus to the flying pizza with the phrase ""Wow, look at that pizza flying."" (+1)  
- Waiting ~3 seconds for the child's response: There is no indication in the transcript that the parent waited for the child's response. (0)  
- Providing verbal feedback that is NOT a simple “Yes/No” question: The parent does not provide any feedback in the transcript. (0)  

2. **Fidelity**: 2",**Fidelity**: 2
2:55-2:59,"[{'start': '2:55', 'end': '2:57', 'text': ""It's flying through the air.""}, {'start': '2:58', 'end': '2:59', 'text': 'Wow.'}]","""Modeling""","**Reasoning**: 
   - Presenting a verbal or gestural model: The parent provides a verbal model by saying, ""It's flying through the air.""
   - Establishing joint attention: The transcript does not provide enough information to determine if joint attention was established.
   - Waiting ~3 seconds for the child's response: The transcript does not indicate any waiting period for the child's response.
   - Providing verbal feedback that is NOT a simple “Yes/No” question: The parent says ""Wow,"" which is a form of verbal feedback but not a question.

2. **Fidelity**: 2",**Fidelity**: 2
3:04-3:05,"[{'start': '3:04', 'end': '3:05', 'text': 'I scream and shout.'}]","""Modeling""","**Reasoning**: The transcript provides a single utterance, ""I scream and shout,"" without any context or additional interaction details. Based on the provided information, it is not possible to determine if a verbal or gestural model was presented, if joint attention was established, if there was a wait time for the child's response, or if verbal feedback was provided. Therefore, none of the fidelity criteria can be confirmed as met.

2. **Fidelity**: 1",**Fidelity**: 1
3:06-3:08,"[{'start': '3:06', 'end': '3:06', 'text': 'Get out, you pigs.'}, {'start': '3:07', 'end': '3:08', 'text': 'You pigs get out.'}]","""Modeling""","**Reasoning**: The transcript does not provide enough information to evaluate the use of the Modeling strategy effectively. There is no clear indication of a verbal or gestural model being presented, nor is there evidence of joint attention being established. The transcript does not show whether the parent waited approximately 3 seconds for the child's response, and there is no verbal feedback provided that is not a simple ""Yes/No"" question. Therefore, none of the fidelity criteria are met based on the given transcript.

2. **Fidelity**: 1",**Fidelity**: 1
3:07-3:08,"[{'start': '3:07', 'end': '3:08', 'text': 'You pigs get out.'}]","""Modeling""","**Reasoning**: The transcript provided is very brief and contains only one utterance, ""You pigs get out."" There is no evidence of a verbal or gestural model being presented, nor is there any indication of joint attention being established. The transcript does not show any waiting period for the child's response, nor does it provide any verbal feedback. Therefore, none of the fidelity criteria are met in this interaction.

2. **Fidelity**: 1",**Fidelity**: 1
3:10-3:11,"[{'start': '3:10', 'end': '3:11', 'text': ""Hey, where's the pizza?""}]",Mand-model,"**Reasoning**: The parent presents a verbal prompt in the form of a question, which satisfies the first criterion. However, there is no information provided about whether joint attention was established, whether the parent waited for the child's response, or whether verbal feedback was given. Therefore, only the first criterion is met.
2. **Fidelity**: 1",**Fidelity**: 1
3:12-3:20,"[{'start': '3:12', 'end': '3:13', 'text': ""Where's the pizza?""}, {'start': '3:17', 'end': '3:18', 'text': 'Right here.'}, {'start': '3:20', 'end': '3:20', 'text': 'Okay.'}]",Mand-model,"**Reasoning**:  
   - The parent presents a verbal prompt in the form of a question: ""Where's the pizza?"" (+1 point).
   - The transcript does not provide explicit evidence of joint attention being established before or while prompting, so no point is awarded for joint attention.
   - The parent waits approximately 4 seconds (from 3:13 to 3:17) for the child's response, which satisfies the waiting criterion (+1 point).
   - The verbal feedback provided is ""Okay,"" which is not a simple ""Yes/No"" question, but it does not provide meaningful feedback or expansion, so no point is awarded for verbal feedback.

2. **Fidelity**: 2",**Fidelity**: 2
3:22-3:32,"[{'start': '3:22', 'end': '3:25', 'text': 'How many pizzas do they have?'}, {'start': '3:27', 'end': '3:28', 'text': 'Two.'}, {'start': '3:29', 'end': '3:30', 'text': 'Two.'}, {'start': '3:32', 'end': '3:32', 'text': 'Okay.'}]",Mand-model,"**Reasoning**:  
   - The parent presents a verbal prompt in the form of a question: ""How many pizzas do they have?"" (+1 point).
   - The transcript does not provide explicit evidence of joint attention being established before or while prompting, so no point is awarded for joint attention.
   - The parent waits approximately 3 seconds between the initial question and the child's response, as indicated by the timestamps from '3:25' to '3:27'. (+1 point).
   - The verbal feedback provided by the parent is ""Okay,"" which is not a simple ""Yes/No"" question, but it does not expand on the child's response or provide additional information. However, it is not a ""Yes/No"" question, so it meets the criterion. (+1 point).

2. **Fidelity**: 3",**Fidelity**: 3
3:34-3:35,"[{'start': '3:34', 'end': '3:35', 'text': 'Highlight.'}]","""Modeling""","**Reasoning**: The transcript provides a single word, ""Highlight,"" with no context or additional interaction details. Therefore, it is not possible to determine if a verbal or gestural model was presented, if joint attention was established, if there was a wait time for the child's response, or if verbal feedback was provided. Without more information, none of the fidelity criteria can be confirmed as met.
2. **Fidelity**: 1",**Fidelity**: 1
3:38-3:39,"[{'start': '3:38', 'end': '3:39', 'text': ""A pig's.""}]","""Modeling""","**Reasoning**: The transcript provided is very limited, with only a single utterance: ""A pig's."" There is no evidence of a verbal or gestural model being presented, nor is there any indication of joint attention being established. The transcript does not show any waiting period for the child's response, nor does it provide any verbal feedback beyond the simple statement. Therefore, none of the fidelity criteria are met.

2. **Fidelity**: 1",**Fidelity**: 1
3:39-3:40,"[{'start': '3:39', 'end': '3:40', 'text': 'And pigs.'}]","""Modeling""","**Reasoning**: The transcript is too brief to evaluate the use of the Modeling strategy effectively. It only contains a single phrase, ""And pigs,"" without any context or additional interaction details. Therefore, it is not possible to determine if a verbal or gestural model was presented, if joint attention was established, if there was a wait time for the child's response, or if verbal feedback was provided.  
2. **Fidelity**: 1",**Fidelity**: 1
3:40-3:41,"[{'start': '3:40', 'end': '3:41', 'text': ""A pig's.""}]","""Modeling""","**Reasoning**: The transcript provided is too limited to evaluate the use of the Modeling strategy effectively. There is no evidence of a verbal or gestural model, joint attention, waiting for a response, or providing verbal feedback. The single phrase ""A pig's."" does not provide enough context to assess any of the fidelity criteria.  
2. **Fidelity**: 1",**Fidelity**: 1
3:41-3:41,"[{'start': '3:41', 'end': '3:41', 'text': ""A pig's.""}]","""Modeling""","**Reasoning**: The transcript provided is very limited, containing only a single phrase, ""A pig's."" Without additional context, it is challenging to evaluate the use of the Modeling strategy fully. However, based on the available information:
   - There is no clear evidence of a verbal or gestural model being presented.
   - There is no indication of joint attention being established.
   - There is no information about waiting for the child's response.
   - There is no evidence of verbal feedback provided, especially not beyond a simple ""Yes/No"" question.

2. **Fidelity**: 1",**Fidelity**: 1
3:41-3:42,"[{'start': '3:41', 'end': '3:42', 'text': ""A pig's.""}]","""Modeling""","**Reasoning**: The transcript provides a very limited context with only one utterance, ""A pig's."" There is no evidence of a verbal or gestural model being presented, nor is there any indication of joint attention being established. The transcript does not show any waiting period for the child's response, nor does it provide any verbal feedback. Therefore, none of the fidelity criteria are met.
2. **Fidelity**: 1",**Fidelity**: 1
3:42-3:43,"[{'start': '3:42', 'end': '3:43', 'text': ""A pig's.""}]","""Modeling""","**Reasoning**: The transcript provides a very limited interaction, with only a single utterance, ""A pig's."" There is no evidence of a verbal or gestural model being presented, no indication of joint attention being established, no waiting period for the child's response, and no verbal feedback provided. Therefore, none of the fidelity criteria are met in this interaction.

2. **Fidelity**: 1",**Fidelity**: 1
3:43-3:44,"[{'start': '3:43', 'end': '3:44', 'text': ""A pig's.""}]","""Modeling""","**Reasoning**: The transcript provided is very limited, containing only a single utterance: ""A pig's."" There is no evidence of a verbal or gestural model being presented, nor is there any indication of joint attention being established. The transcript does not show any waiting period for the child's response, nor does it provide any verbal feedback beyond the statement itself. Therefore, none of the fidelity criteria are met in this interaction.

2. **Fidelity**: 1",**Fidelity**: 1
3:45-3:46,"[{'start': '3:45', 'end': '3:46', 'text': ""What's he doing?""}]",Mand-model,"**Reasoning**: The parent presents a verbal prompt in the form of a question, which satisfies the first criterion. However, there is no information provided about whether joint attention was established, whether the parent waited for the child's response, or whether verbal feedback was given. Therefore, only the first criterion can be confirmed as met.
2. **Fidelity**: 1",**Fidelity**: 1
3:47-3:48,"[{'start': '3:47', 'end': '3:48', 'text': ""What's he doing?""}]",Mand-model,"**Reasoning**: The parent presents a verbal prompt in the form of a question, which satisfies the first criterion. However, there is no information provided about whether joint attention was established, whether the parent waited for the child's response, or whether verbal feedback was given. Therefore, only the first criterion can be confirmed as met.
2. **Fidelity**: 1",**Fidelity**: 1
3:48-3:54,"[{'start': '3:48', 'end': '3:48', 'text': ""What's that man doing?""}, {'start': '3:50', 'end': '3:52', 'text': ""Yeah, he's sleeping.""}, {'start': '3:54', 'end': '3:54', 'text': 'Sleeping.'}]",Mand-model,"**Reasoning**: 
   - The parent presents a verbal prompt in the form of a question: ""What's that man doing?"" (+1 point).
   - The transcript does not provide explicit evidence of joint attention being established before or while prompting, so no point is awarded for joint attention.
   - The parent does not wait ~3 seconds for the child's response before continuing, as the response follows immediately after the prompt. Therefore, no point is awarded for waiting.
   - The parent provides verbal feedback: ""Yeah, he's sleeping,"" which is not a simple ""Yes/No"" question. (+1 point).

2. **Fidelity**: 2",**Fidelity**: 2
